gene_id	X1B	X2B	X3B	X12B	X9B	X14B	X18B	X19B
ENSDARG00000000001	220	225	184	180	439	326	311	290
ENSDARG00000000002	967	3016	1891	5618	253	2365	3980	1025
ENSDARG00000000018	1181	1287	1142	1150	1003	863	1006	733
ENSDARG00000000019	3538	4054	2975	4523	4898	4046	5414	3839
ENSDARG00000000068	1934	846	2667	986	2074	1089	1747	1505
ENSDARG00000000069	3209	4215	2988	2838	3996	8318	4472	4616
ENSDARG00000000086	2819	2148	2482	2069	2767	1832	2412	1600
ENSDARG00000000103	8592	9096	11969	8057	11865	6742	9946	8867
ENSDARG00000000142	91	74	69	64	134	102	103	80
ENSDARG00000000151	263	585	270	339	626	237	578	156
ENSDARG00000000161	169	162	108	96	306	239	212	112
ENSDARG00000000175	4	13	37	2	4	6	7	3
ENSDARG00000000183	156	302	180	311	73	125	126	110
ENSDARG00000000189	9888	8878	8260	7340	8528	7542	9783	4160
ENSDARG00000000212	11093	1476	1429	12345	745	3354	870	5341
ENSDARG00000000229	1075	1228	1234	1324	580	848	803	814
ENSDARG00000000241	4417	3290	1357	2095	2521	11902	2629	2243
ENSDARG00000000324	493	633	568	711	887	553	904	766
ENSDARG00000000370	813	617	569	425	669	1137	596	528
ENSDARG00000000380	8	19	11	2	8	58	3	13
ENSDARG00000000394	2816	3034	3174	3876	2610	2821	3586	3278
ENSDARG00000000423	381	407	377	455	581	356	442	541
ENSDARG00000000442	2245	1381	3316	1904	1906	1587	1906	2849
ENSDARG00000000476	162	287	163	191	199	264	249	150
ENSDARG00000000489	1874	2825	2387	3225	2713	2499	3149	3639
ENSDARG00000000503	13	15	36	30	15	18	137	12
ENSDARG00000000529	326	603	337	499	640	574	591	607
ENSDARG00000000540	1303	1238	1797	1165	1379	1493	1596	1521
ENSDARG00000000542	898	1150	1150	876	1235	781	1083	799
ENSDARG00000000551	581	392	377	1909	68	243	375	259
ENSDARG00000000563	715	24	1816	71	1372	23	2639	28
ENSDARG00000000567	481	728	505	471	565	394	400	361
ENSDARG00000000568	1389	1943	1436	1758	1054	1981	1588	1365
ENSDARG00000000588	271	419	285	106	376	589	139	297
ENSDARG00000000606	107	65	29	34	64	129	143	7
ENSDARG00000000631	3674	3105	3361	3432	3015	5844	4959	3683
ENSDARG00000000651	80	108	71	105	117	86	79	124
ENSDARG00000000656	464	392	215	401	284	471	131	539
ENSDARG00000000666	3343	4302	3376	4644	3654	4512	5357	3807
ENSDARG00000000690	5868	4913	8798	4936	4998	5756	5595	6825
ENSDARG00000000729	1104	1262	812	1087	629	1420	732	840
ENSDARG00000000730	40	99	37	56	226	263	119	304
ENSDARG00000000747	95	135	119	122	151	119	169	125
ENSDARG00000000760	80	149	100	167	142	123	174	173
ENSDARG00000000767	1642	2355	1202	1604	1129	2403	780	1865
ENSDARG00000000779	1571	1440	1783	1710	2555	1769	2854	2125
ENSDARG00000000796	478	884	781	514	445	278	188	564
ENSDARG00000000804	66	103	34	113	43	130	43	108
ENSDARG00000000830	383	382	485	426	398	245	398	338
ENSDARG00000000837	227	365	168	327	408	293	282	330
ENSDARG00000000853	6735	9851	7037	8650	5480	8995	8195	6094
ENSDARG00000000857	1627	1410	1032	1269	823	1307	565	1101
ENSDARG00000000861	11197	10266	11671	10557	17329	6363	13715	7992
ENSDARG00000000906	484	582	509	549	1020	974	835	1223
ENSDARG00000000935	469	567	457	521	480	244	395	268
ENSDARG00000000943	45	131	85	74	65	65	78	61
ENSDARG00000000966	5348	4999	4687	3503	4408	3648	2564	3328
ENSDARG00000001014	7698	5389	5946	7436	8547	6292	7262	8134
ENSDARG00000001015	2274	3329	2565	3184	2845	2349	2879	2733
ENSDARG00000001057	1938	1944	2314	1779	2188	2644	2349	2544
ENSDARG00000001129	2154	2876	3310	3402	1098	1638	1936	1885
ENSDARG00000001162	2231	2962	2941	3046	2063	2215	2842	2325
ENSDARG00000001169	90	119	123	79	101	58	67	69
ENSDARG00000001210	263	348	232	310	390	368	302	402
ENSDARG00000001220	8966	9186	6840	8463	6753	4795	5401	4251
ENSDARG00000001234	125	319	270	189	332	335	278	509
ENSDARG00000001241	3492	4804	4386	4413	3898	3446	4385	3655
ENSDARG00000001244	21731	36512	18927	26532	24080	19741	20383	15916
ENSDARG00000001249	123	191	169	163	125	106	128	126
ENSDARG00000001259	208	200	197	147	225	54	51	139
ENSDARG00000001303	966	947	373	860	789	2007	406	1627
ENSDARG00000001313	44	75	42	51	9	193	22	67
ENSDARG00000001354	14	8	6	15	21	12	10	24
ENSDARG00000001414	94	94	16	235	9	84	12	63
ENSDARG00000001431	451	124	3244	90	2279	52	1932	106
ENSDARG00000001437	21	6	8	26	29	21	43	28
ENSDARG00000001442	150	274	184	249	290	249	485	189
ENSDARG00000001447	640	955	819	791	730	563	730	605
ENSDARG00000001452	8155	2738	6473	1751	6849	6366	2163	6088
ENSDARG00000001463	23	61	58	112	11	23	21	88
ENSDARG00000001470	1545	1384	1917	1265	1737	1608	1924	1465
ENSDARG00000001498	23	120	63	35	51	26	22	42
ENSDARG00000001549	299	203	257	172	125	153	115	103
ENSDARG00000001557	1485	885	1719	1236	585	952	835	1017
ENSDARG00000001558	229	272	236	212	186	603	270	339
ENSDARG00000001559	21	24	14	16	120	27	19	71
ENSDARG00000001578	1081	1486	1153	1390	1405	1272	1343	1427
ENSDARG00000001621	408	200	231	311	152	121	130	126
ENSDARG00000001634	13081	9586	12299	12589	9348	5224	6479	9122
ENSDARG00000001656	632	552	348	539	410	739	172	1024
ENSDARG00000001676	9214	5611	9281	5637	9607	3358	6539	3986
ENSDARG00000001686	72	30	34	44	23	12	13	14
ENSDARG00000001710	63	210	135	122	155	517	412	276
ENSDARG00000001712	142	260	165	322	85	324	187	297
ENSDARG00000001729	4281	4637	4458	4001	3103	3973	3179	3401
ENSDARG00000001733	88	86	102	102	136	134	334	76
ENSDARG00000001734	1715	1780	2155	1898	3266	1365	2769	2065
ENSDARG00000001754	932	993	1868	1342	581	1469	1974	1240
ENSDARG00000001760	11	11	16	39	3	3	9	9
ENSDARG00000001767	127	149	44	171	68	130	42	116
ENSDARG00000001769	1680	1121	2480	1025	2568	950	1405	1748
ENSDARG00000001776	138	114	60	90	70	84	25	78
ENSDARG00000001777	1597	1286	1202	1638	1801	1415	1773	1456
ENSDARG00000001781	11	6	30	18	26	2	11	41
ENSDARG00000001782	110	172	112	93	62	177	62	96
ENSDARG00000001785	44	131	49	136	109	37	68	96
ENSDARG00000001788	7394	8763	8246	6224	9126	8972	7014	8435
ENSDARG00000001803	56	107	40	41	56	35	27	17
ENSDARG00000001804	27	23	6	56	34	57	31	66
ENSDARG00000001807	15972	20047	15860	21604	24494	7357	18082	11252
ENSDARG00000001817	40	8	17	16	30	14	33	9
ENSDARG00000001818	150	214	203	135	4	11	3	12
ENSDARG00000001825	41	9	9	11	7	55	11	10
ENSDARG00000001829	3352	4470	3736	4458	3091	3112	3634	3192
ENSDARG00000001835	21	38	31	33	52	51	72	51
ENSDARG00000001857	834	658	1254	819	748	470	1051	569
ENSDARG00000001859	761	2185	1871	1260	465	1046	230	3126
ENSDARG00000001870	5	12	284	4	4	5	27	7
ENSDARG00000001873	958	1048	605	2435	989	600	948	1394
ENSDARG00000001879	3462	2990	2457	4365	2600	2281	2850	2502
ENSDARG00000001880	134	178	119	116	90	187	118	82
ENSDARG00000001882	15	9	43	6	65	2	46	4
ENSDARG00000001888	405	402	330	460	298	312	304	312
ENSDARG00000001889	702	1314	552	341	623	14762	612	2773
ENSDARG00000001890	8524	4835	10157	6478	8140	4161	5504	8459
ENSDARG00000001891	63	72	54	67	67	123	83	84
ENSDARG00000001897	3244	3055	3384	3751	4600	4071	5431	4617
ENSDARG00000001898	710	866	761	825	819	670	796	726
ENSDARG00000001906	34	107	13	72	34	79	49	23
ENSDARG00000001909	37	42	17	11	15	133	8	25
ENSDARG00000001910	3734	2960	4148	4006	2266	3728	3054	4327
ENSDARG00000001913	5	30	25	14	9	4	22	3
ENSDARG00000001929	1146	1672	1390	1523	1616	1860	2231	1595
ENSDARG00000001930	565	641	526	607	473	618	522	518
ENSDARG00000001933	132	205	75	229	169	316	312	152
ENSDARG00000001937	42	98	35	87	37	57	38	55
ENSDARG00000001939	960	740	846	587	1143	869	838	698
ENSDARG00000001940	2636	3412	3618	2776	3749	3986	4161	3845
ENSDARG00000001950	1629	3166	3503	961	5082	3878	1839	4823
ENSDARG00000001953	4176	881	1946	2499	2483	5689	4190	4573
ENSDARG00000001968	268	174	239	108	121	157	84	92
ENSDARG00000001969	503	507	537	470	323	553	477	366
ENSDARG00000001971	156	313	421	451	61	51	31	472
ENSDARG00000001975	206	299	571	348	1357	430	1139	1580
ENSDARG00000001976	19	14	8	16	2	13	2	9
ENSDARG00000001993	138	77	855	151	255	79	1927	91
ENSDARG00000001994	230	166	629	102	87	193	200	89
ENSDARG00000001999	5	3	2	4	1	31	4	14
ENSDARG00000002002	204	316	151	196	434	941	709	280
ENSDARG00000002006	2171	2662	2638	2591	2732	1982	2489	2604
ENSDARG00000002013	952	697	930	1164	1422	905	1305	1727
ENSDARG00000002016	558	716	646	685	1025	782	1102	832
ENSDARG00000002020	650	1060	658	795	853	953	899	732
ENSDARG00000002021	2056	1436	1833	1698	2177	2942	2640	2485
ENSDARG00000002026	176	61	182	73	128	35	88	43
ENSDARG00000002031	1313	1060	1569	870	1453	846	1083	902
ENSDARG00000002037	251	338	127	387	623	206	354	264
ENSDARG00000002060	110	116	105	178	174	89	202	133
ENSDARG00000002071	133	121	137	155	203	56	118	130
ENSDARG00000002077	218	296	302	216	264	162	174	225
ENSDARG00000002082	7296	6068	8136	6621	6001	7489	7106	7388
ENSDARG00000002084	1528	1096	798	359	808	531	265	176
ENSDARG00000002097	99	51	48	221	34	10	11	99
ENSDARG00000002127	2268	2253	1899	1917	1636	3713	2104	2068
ENSDARG00000002128	383	582	440	507	540	617	638	564
ENSDARG00000002131	1612	1195	2022	1341	2049	1187	2292	1313
ENSDARG00000002165	4269	2685	2800	3080	2494	4014	1619	4596
ENSDARG00000002167	78	13	47	14	25	36	19	19
ENSDARG00000002168	1549	1924	1484	1941	1355	965	1119	1213
ENSDARG00000002172	48	139	131	102	101	116	95	263
ENSDARG00000002174	224	394	307	358	448	397	527	463
ENSDARG00000002184	1196	1425	1394	1160	1243	1260	1214	1171
ENSDARG00000002190	4132	3121	3093	3907	2958	5114	3667	4123
ENSDARG00000002192	149	382	186	192	68	387	87	211
ENSDARG00000002194	23	12	39	43	18	29	87	43
ENSDARG00000002196	1059	1068	704	1019	1266	1414	1169	1034
ENSDARG00000002204	62	4	296	25	304	1	405	16
ENSDARG00000002210	164	199	171	144	47	73	53	47
ENSDARG00000002213	735	940	663	1418	771	563	947	801
ENSDARG00000002215	2792	2035	2809	2198	1620	2875	1797	2662
ENSDARG00000002216	143	171	120	237	147	78	102	159
ENSDARG00000002217	3641	2905	3685	3342	2496	3121	2775	3212
ENSDARG00000002220	803	980	1106	931	1078	952	1283	1032
ENSDARG00000002230	23	28	43	31	12	26	28	24
ENSDARG00000002231	83	16	14	53	42	33	27	36
