NAME	Description	X1B	X2B	X3B	X12B	X9B	X14B	X18B	X19B
ENSG00000138459	NA	220	225	184	180	439	326	311	290
ENSG00000106459	NA	1181	1287	1142	1150	1003	863	1006	733
ENSG00000186591	NA	3538	4054	2975	4523	4898	4046	5414	3839
ENSG00000109062	NA	1934	846	2667	986	2074	1089	1747	1505
ENSG00000112977	NA	3209	4215	2988	2838	3996	8318	4472	4616
ENSG00000205726	NA	2819	2148	2482	2069	2767	1832	2412	1600
ENSG00000133026	NA	8592	9096	11969	8057	11865	6742	9946	8867
ENSG00000151881	NA	91	74	69	64	134	102	103	80
ENSG00000126351	NA	263	585	270	339	626	237	578	156
ENSG00000198399	NA	169	162	108	96	306	239	212	112
ENSG00000173917	NA	4	13	37	2	4	6	7	3
ENSG00000088179	NA	156	302	180	311	73	125	126	110
ENSG00000143434	NA	9888	8878	8260	7340	8528	7542	9783	4160
ENSG00000164663	NA	1075	1228	1234	1324	580	848	803	814
ENSG00000138449	NA	4417	3290	1357	2095	2521	11902	2629	2243
ENSG00000189186	NA	493	633	568	711	887	553	904	766
ENSG00000132716	NA	493	633	568	711	887	553	904	766
ENSG00000226372	NA	493	633	568	711	887	553	904	766
ENSG00000038382	NA	813	617	569	425	669	1137	596	528
ENSG00000015479	NA	2816	3034	3174	3876	2610	2821	3586	3278
ENSG00000165915	NA	2245	1381	3316	1904	1906	1587	1906	2849
ENSG00000064933	NA	162	287	163	191	199	264	249	150
ENSG00000125351	NA	1874	2825	2387	3225	2713	2499	3149	3639
ENSG00000099365	NA	13	15	36	30	15	18	137	12
ENSG00000046651	NA	326	603	337	499	640	574	591	607
ENSG00000138381	NA	1303	1238	1797	1165	1379	1493	1596	1521
ENSG00000153767	NA	898	1150	1150	876	1235	781	1083	799
ENSG00000115902	NA	581	392	377	1909	68	243	375	259
ENSG00000162702	NA	481	728	505	471	565	394	400	361
ENSG00000105656	NA	1389	1943	1436	1758	1054	1981	1588	1365
ENSG00000161835	NA	271	419	285	106	376	589	139	297
ENSG00000115423	NA	107	65	29	34	64	129	143	7
ENSG00000088179	NA	3674	3105	3361	3432	3015	5844	4959	3683
ENSG00000128694	NA	80	108	71	105	117	86	79	124
ENSG00000240065	NA	464	392	215	401	284	471	131	539
ENSG00000175874	NA	3343	4302	3376	4644	3654	4512	5357	3807
ENSG00000143028	NA	5868	4913	8798	4936	4998	5756	5595	6825
ENSG00000204209	NA	1104	1262	812	1087	629	1420	732	840
ENSG00000168806	NA	95	135	119	122	151	119	169	125
ENSG00000198546	NA	80	149	100	167	142	123	174	173
ENSG00000066336	NA	1642	2355	1202	1604	1129	2403	780	1865
ENSG00000092108	NA	1571	1440	1783	1710	2555	1769	2854	2125
ENSG00000123358	NA	478	884	781	514	445	278	188	564
ENSG00000169435	NA	66	103	34	113	43	130	43	108
ENSG00000100726	NA	383	382	485	426	398	245	398	338
ENSG00000130340	NA	227	365	168	327	408	293	282	330
ENSG00000133059	NA	6735	9851	7037	8650	5480	8995	8195	6094
ENSG00000112062	NA	1627	1410	1032	1269	823	1307	565	1101
